100 Thieves	S11	NA	20	65.0%	1.12	1836	120	34:21	14.7	12.8	6.9	4.6	60.0	75.0	2.85	60.2	1.30	65.0	1.40	0.7	962	0.85	65.0	32.8	1830	3.5	1.41	1.48
100 Thieves Academy	S11	NA	9	66.7%	1.28	1835	90	36:26	19.0	14.8	6.9	5.0	44.4	22.2	3.56	65.6	0.56	27.8	1.33	0.1	195	1.11	66.7	32.1	2321	3.3	1.41	1.56
1907 Fenerbahce	S11	TR	10	40.0%	0.83	1699	-98	31:00	11.2	13.5	4.6	6.7	70.0	20.0	2.40	52.8	1.10	55.0	1.20	-0.2	-990	0.60	40.0	31.2	1628	2.9	1.21	1.35
4Elements Esports	S11	BE	7	28.6%	0.92	1697	-86	28:32	11.1	12.1	3.4	6.7	71.4	-	2.57	59.8	0.71	35.7	1.29	-1.4	-986	0.29	33.3	32.8	1571	2.8	1.19	0.96
5 Ronin	S11	TR	10	40.0%	0.89	1711	-91	34:02	12.5	14.0	5.2	7.2	50.0	50.0	1.90	36.7	0.80	40.0	0.60	-0.3	-130	0.60	35.0	31.9	1697	3.5	1.30	1.41
7more7 Pompa Team	S11	PL	10	80.0%	1.94	1781	163	33:56	13.0	6.7	7.1	3.2	50.0	80.0	3.40	70.4	1.10	55.0	1.30	0.6	1456	0.80	72.2	33.1	1641	3.1	1.28	1.25
Ad Hoc Gaming	S11	DE	13	23.1%	0.66	1702	-198	30:29	10.9	16.6	4.5	8.1	38.5	46.2	1.46	30.4	1.15	57.7	0.62	-0.3	-481	0.38	26.9	31.7	1721	3.1	1.37	1.04
Afreeca Challengers	S11	KR	10	20.0%	0.56	1619	-295	30:58	8.7	15.6	3.2	7.5	20.0	20.0	1.80	35.7	0.60	30.0	1.00	-0.7	-2014	0.20	15.0	31.0	1771	3.5	1.42	1.51
Afreeca Freecs	S11	KR	24	41.7%	0.89	1744	-83	34:09	11.7	13.1	5.7	6.5	79.2	50.0	2.46	50.9	1.17	62.5	1.08	0.2	-49	0.58	39.1	33.0	1746	3.7	1.55	1.91
AGO ROGUE	S11	PL	10	90.0%	2.13	1958	399	29:18	16.2	7.5	8.3	2.5	70.0	70.0	2.40	61.0	1.50	75.0	0.90	0.9	3998	0.80	81.3	34.1	2049	3.1	1.07	1.13
All Knights	S11	LAT	8	75.0%	1.72	1834	160	34:17	15.3	8.9	6.9	4.6	50.0	37.5	2.63	57.0	0.75	37.5	0.88	-0.6	-212	1.25	66.7	32.0	2088	2.9	1.18	1.39
Alpha Esports	S11	PCS	3	0.0%	0.25	1492	-519	26:24	4.7	18.7	1.0	8.7	-	-	1.67	44.4	0.00	0.0	0.67	-1.7	-5104	0.00	0.0	30.2	1363	2.9	1.11	0.96
Anorthosis Famagusta Esports	S11	GR	12	58.3%	1.04	1812	84	30:09	16.2	15.5	7.2	4.7	58.3	58.3	2.08	47.1	0.75	37.5	1.00	0.8	654	0.67	50.0	30.6	2103	2.7	1.09	1.28
