"Win Rate","K:D","GPM","GDM","Game Duration","Kills/Game","Deaths/Game","Towers Killed","Towers Lost","FB%","FT%","DRAPG","DRA%","HERPG","Her%","DRA@15","TD@15","GD@15","NASHPG","NASH%","CSM","DPM","WPM","VWPM","WCPM"
0.65,1.12,1.836,120,34.35,14.7,12.8,6.9,4.6,60.0,75.0,2.85,60.2,1.30,65.0,1.40,0.7,0.962,0.85,65.0,32.8,1.83,3.5,1.41,1.48
0.66,1.28,1.835,90,36.43333333333333,19.0,14.8,6.9,5.0,44.4,22.2,3.56,65.6,0.56,27.8,1.33,0.1,0.195,1.11,66.7,32.1,2.321,3.3,1.41,1.56
0.4,0.83,1.699,-98,31.0,11.2,13.5,4.6,6.7,70.0,20.0,2.40,52.8,1.10,55.0,1.20,-0.2,-0.99,0.60,40.0,31.2,1.628,2.9,1.21,1.35
0.4,0.89,1.711,-91,34.03333333333333,12.5,14.0,5.2,7.2,50.0,50.0,1.90,36.7,0.80,40.0,0.60,-0.3,-0.13,0.60,35.0,31.9,1.697,3.5,1.30,1.41
0.8,1.94,1.781,163,33.93333333333333,13.0,6.7,7.1,3.2,50.0,80.0,3.40,70.4,1.10,55.0,1.30,0.6,1.456,0.80,72.2,33.1,1.641,3.1,1.28,1.25
0.23,0.66,1.702,-198,30.483333333333334,10.9,16.6,4.5,8.1,38.5,46.2,1.46,30.4,1.15,57.7,0.62,-0.3,-0.481,0.38,26.9,31.7,1.721,3.1,1.37,1.04
0.2,0.56,1.619,-295,30.966666666666665,8.7,15.6,3.2,7.5,20.0,20.0,1.80,35.7,0.60,30.0,1.00,-0.7,-2.014,0.20,15.0,31.0,1.771,3.5,1.42,1.51
0.41,0.89,1.744,-83,34.15,11.7,13.1,5.7,6.5,79.2,50.0,2.46,50.9,1.17,62.5,1.08,0.2,-0.049,0.58,39.1,33.0,1.746,3.7,1.55,1.91
0.9,2.13,1.958,399,29.3,16.2,7.5,8.3,2.5,70.0,70.0,2.40,61.0,1.50,75.0,0.90,0.9,3.998,0.80,81.3,34.1,2.049,3.1,1.07,1.13
0.75,1.72,1.834,160,34.28333333333333,15.3,8.9,6.9,4.6,50.0,37.5,2.63,57.0,0.75,37.5,0.88,-0.6,-0.212,1.25,66.7,32.0,2.088,2.9,1.18,1.39
0.58,1.04,1.812,84,30.15,16.2,15.5,7.2,4.7,58.3,58.3,2.08,47.1,0.75,37.5,1.00,0.8,0.654,0.67,50.0,30.6,2.103,2.7,1.09,1.28
0.27,0.65,1.677,-169,34.13333333333333,11.0,16.8,4.1,7.6,36.4,54.5,2.00,41.3,0.73,36.4,0.82,-0.2,-1.485,0.55,40.9,31.2,1.773,3.2,1.31,1.24
0.25,0.64,1.654,-218,29.383333333333333,10.9,16.9,3.1,7.0,62.5,12.5,1.13,23.1,0.38,25.0,0.50,-0.8,-1.774,0.38,37.5,31.2,1.606,2.2,0.76,0.99
0.37,0.88,1.708,-99,36.53333333333333,15.5,17.6,6.1,6.4,25.0,50.0,2.50,43.3,0.88,43.8,0.88,-0.4,-1.092,0.63,50.0,30.8,2.003,3.6,1.48,1.78
0.41,0.69,1.677,-125,32.0,12.0,17.3,5.0,6.5,58.3,41.7,1.92,39.3,1.08,54.2,0.67,-0.6,-1.655,0.75,47.7,29.5,1.881,2.8,0.89,1.18
0.7,1.23,1.831,186,34.3,15.7,12.8,8.6,3.4,60.0,70.0,2.70,56.0,1.20,60.0,1.20,0.7,1.287,1.20,66.7,31.5,2.115,3.3,1.23,1.31
0.41,0.82,1.724,-81,32.28333333333333,12.4,15.1,5.3,6.8,66.7,41.7,2.92,62.3,0.75,37.5,1.50,-0.4,-0.912,0.67,47.2,31.2,1.798,2.8,1.19,1.33
0.5,1.15,1.771,39,32.733333333333334,13.8,12.0,5.0,5.5,50.0,25.0,2.25,48.8,1.50,75.0,0.75,-0.8,0.244,1.00,62.5,31.9,1.658,3.6,1.68,1.32
0.76,1.66,1.881,233,30.25,19.4,11.7,8.0,4.1,69.2,61.5,2.85,69.5,1.15,65.4,1.46,0.6,0.605,0.85,65.3,30.9,2.24,3.1,1.39,1.14
0.6,1.19,1.78,77,32.666666666666664,13.3,11.2,5.9,4.8,60.0,60.0,2.80,56.0,1.30,70.0,1.00,0.1,0.22,0.70,61.1,32.9,1.788,3.1,1.16,1.40
0.66,1.04,1.752,64,32.983333333333334,8.7,8.3,7.0,5.3,66.7,100.0,2.00,44.4,1.67,83.3,0.67,1.0,1.826,1.33,100.0,33.4,1.405,3.3,1.33,1.62
0.52,0.98,1.812,24,33.28333333333333,13.1,13.4,6.5,6.0,42.9,42.9,2.52,52.2,0.71,37.5,0.67,0.0,0.021,0.81,55.6,33.5,1.976,3.2,1.27,1.64
0.62,1.58,1.831,180,32.63333333333333,18.4,11.6,7.0,5.0,62.5,37.5,2.63,58.1,0.63,31.3,1.38,0.5,0.365,1.13,81.3,31.1,1.932,3.4,1.12,1.28
0.66,0.98,1.743,-10,34.7,14.0,14.3,7.0,5.3,33.3,100.0,2.33,56.0,1.33,66.7,0.67,1.0,0.384,1.00,55.6,31.6,1.974,2.9,1.17,1.34
0.5,1.26,1.782,-2,30.816666666666666,17.0,13.5,6.2,6.0,70.0,50.0,2.80,58.7,0.70,35.0,0.80,-0.1,-1.063,0.80,63.3,29.8,2.129,3.4,1.21,1.40
0.18,0.72,1.694,-177,32.2,13.4,18.4,4.5,8.1,45.5,36.4,2.00,38.8,0.55,27.3,0.73,-0.1,-0.653,0.55,38.6,30.1,1.904,2.9,1.20,0.96
0.9,2.12,1.985,380,29.316666666666666,17.8,8.4,9.1,1.9,90.0,100.0,2.80,73.7,1.60,85.0,1.10,1.8,3.704,0.90,80.0,33.9,2.091,2.8,1.22,1.21
0.25,0.74,1.648,-195,31.216666666666665,8.3,13.0,3.6,8.0,37.5,12.5,1.88,37.2,0.50,28.6,1.00,-1.9,-1.667,0.25,33.3,32.8,1.561,3.3,1.15,1.52
0.4,1.03,1.789,-43,31.783333333333335,15.4,14.9,4.9,6.6,66.7,40.0,2.13,48.3,0.80,43.3,1.00,-0.5,-0.446,0.47,33.3,32.9,2.168,3.5,1.35,1.70
0.64,1.15,1.823,44,32.61666666666667,16.7,14.5,6.4,5.0,64.3,64.3,2.43,53.5,0.93,46.4,1.14,0.1,1.02,0.86,52.4,32.2,2.175,3.4,1.58,1.50
0.15,0.64,1.684,-224,35.71666666666667,11.4,17.8,4.7,8.4,69.2,46.2,2.00,35.3,0.77,42.3,0.69,0.0,-0.72,0.62,28.2,32.2,1.727,3.1,1.17,1.27
0.33,0.87,1.728,-92,34.916666666666664,11.4,13.2,4.6,8.0,55.6,55.6,2.44,49.3,1.33,72.2,1.11,0.0,0.198,0.56,38.9,33.1,1.776,3.1,1.12,1.33
0.65,1.38,1.865,140,31.216666666666665,15.6,11.2,6.9,4.9,53.8,46.2,2.35,53.4,0.88,44.2,0.92,0.0,0.449,0.85,56.4,33.3,1.902,3.2,1.25,1.45
0.77,1.54,1.88,197,30.8,13.9,9.0,7.4,4.3,44.4,33.3,2.33,50.9,0.44,22.2,0.56,-0.3,-0.03,0.89,72.2,34.4,1.748,3.1,1.03,1.38
0.16,0.71,1.67,-230,31.533333333333335,15.0,21.1,4.0,8.6,41.7,8.3,1.75,33.9,0.33,16.7,0.50,-1.5,-2.654,0.67,40.9,27.9,2.072,2.8,0.95,0.90
0.75,1.17,1.856,164,29.7,15.6,13.4,7.6,3.1,25.0,75.0,2.38,51.0,1.50,75.0,1.13,1.0,0.396,1.13,81.0,31.6,1.894,2.6,1.01,1.28
0.66,1.36,1.779,69,34.78333333333333,13.6,9.9,6.8,5.6,33.3,50.0,2.83,50.6,0.50,25.0,0.33,-0.6,-0.451,1.00,58.3,33.0,1.851,3.4,1.22,1.41
0.37,0.75,1.718,-82,33.516666666666666,13.3,17.6,5.1,6.9,62.5,37.5,2.63,50.1,0.63,31.3,1.00,0.8,-0.404,0.50,37.5,31.8,1.928,3.7,1.25,1.60
0.75,1.44,1.838,167,34.78333333333333,16.3,11.3,8.0,3.8,25.0,75.0,2.75,56.3,1.75,87.5,0.75,1.0,1.23,0.75,62.5,32.2,1.776,3.3,1.22,1.60
0.2,0.70,1.645,-153,32.666666666666664,10.9,15.5,4.0,7.4,40.0,30.0,1.60,34.5,0.30,15.0,0.50,-0.6,-1.408,0.30,27.8,30.4,1.713,3.3,1.51,1.30
0.25,0.62,1.644,-234,30.683333333333334,9.8,15.6,3.4,8.3,41.7,25.0,2.00,43.8,0.67,33.3,0.75,-0.7,-0.697,0.42,25.0,31.3,1.495,2.9,1.15,1.08
0.0,0.31,1.53,-421,29.683333333333334,5.9,18.9,1.4,9.0,12.5,12.5,1.13,24.8,0.38,25.0,0.88,-1.3,-2.876,0.00,0.0,31.0,1.452,3.0,0.99,1.00
0.0,0.49,1.592,-288,30.5,7.8,15.8,2.0,9.3,25.0,25.0,1.50,31.3,0.50,25.0,0.50,-1.0,-1.568,0.25,25.0,30.6,1.513,3.2,1.34,0.85
0.58,1.26,1.739,19,32.9,14.2,11.3,5.8,6.1,58.3,75.0,2.58,49.5,1.25,68.2,1.27,0.5,0.568,0.58,48.1,30.0,1.847,2.9,1.14,1.29
0.6,1.32,1.804,99,30.85,12.8,9.7,6.5,4.3,50.0,40.0,2.30,49.5,1.00,50.0,1.00,-0.1,0.45,0.70,66.7,33.0,1.686,3.0,1.12,1.15
0.45,0.85,1.779,-14,30.25,13.9,16.5,5.5,6.0,54.5,72.7,2.64,56.7,1.18,63.6,1.00,0.2,-0.03,0.55,50.0,31.2,1.943,2.7,0.91,1.01
0.88,1.98,1.927,355,27.583333333333332,17.8,9.0,7.9,2.4,66.7,66.7,3.00,71.1,1.33,72.2,1.11,1.4,2.412,0.89,77.8,31.6,1.985,2.4,0.91,0.95
0.87,1.65,1.863,241,31.716666666666665,17.5,10.3,6.9,3.5,37.5,50.0,2.38,51.0,1.63,81.3,0.50,0.6,1.366,0.50,50.0,32.3,2.087,3.2,1.26,1.81
